Geneve,Lausanne,34
Lausanne,Neuchatel,40
Lausanne,Berne,67
Lausanne,Sion,67
Neuchatel,Delemont,49
Neuchatel,Bale,87
Neuchatel,Berne,42
Delemont,Bale,34
Delemont,Berne,60
Bale,Berne,66
Bale,Lucerne,73
Bale,Zurich,60
Berne,Lucerne,83
Berne,Zurich,79
Berne,Sion,157
Lucerne,Zurich,46
Lucerne,Bellinzone,132
Lucerne,Andermatt,102
Zurich,Schaffouse,42
Zurich,St.-Gall,66
Zurich,Coire,91
Schaffouse,St.-Gall,87
St.-Gall,Coire,99
Coire,St.-Moritz,116
Coire,Andermatt,100
Bellinzone,Andermatt,84
Andermatt,Sion,162